Name,Common Names,Scientific Name,Family,Toxicity,Toxic Principles,Clinical Signs,URL,Image URL
"African Wonder Tree","","Ricinus communis","","Dogs; Cats","Ricin (highly toxic)","Loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, depression, bloody diarrhea, seizures, death.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/african-wonder-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/african-wonder-2-r.jpg?itok=P4KjAUwG"
"Adam-and-Eve","","Arum maculatum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/adam-and-eve","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=206UUxCJ"
